#;NAME;;P0;;;P1;;;F0;;;F1;;;AGE;BSURF;EDOT;
;;;(s);;;;;;(Hz);;;(s^-2);;;(Yr);(G);(ergs/s);
45;J0045-7319;mmh+91;0.92627590497;3.0e-11;kbm+96;4.4632E-15;9.0e-19;kbm+96;1.07959193868;4.0e-11;kbm+96;-5.2019E-15;1.1e-18;kbm+96;3.29e+06;2.06e+12;2.2e+32;
46;B0045+33;dtws85;1.217094296058;8.0e-12;hlk+04;2.35454E-15;6.0e-20;hlk+04;0.821629025162;5.0e-12;hlk+04;-1.58949E-15;4.0e-20;hlk+04;8.19e+06;1.71e+12;5.2e+31;
47;J0050+03;dsm+16;1.36656;0;dsm+16;*;0;*;0.731764;0;dsm+16;*;0;*;*;*;*;
48;J0051+0423;snt97;0.35473179890;1.0e-11;snt97;7E-18;2.0e-18;snt97;2.81903117539;8.0e-11;snt97;-5.6E-17;1.6e-17;snt97;8.03e+08;5.04e+10;6.2e+30;
49;J0052-72;tsm+19;0.191444328;4.6e-08;tsm+19;*;0;*;5.2234507;1.3e-06;tsm+19;*;0;*;*;*;*;
50;J0054+66;hrk+08;1.39;0;hrk+08;*;0;*;0.719424;0;hrk+08;*;0;*;*;*;*;
51;J0054+69;kkl+15;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;
52;J0054+6946;slr+14;0.832911328744;5.0e-12;lsk+18;7.194E-16;7.0e-19;lsk+18;1.200607994501;6.0e-12;lsk+18;-1.037E-15;1.0e-18;lsk+18;1.83e+07;7.83e+11;4.9e+31;
53;B0052+51;dtws85;2.115171148865;4.0e-12;hlk+04;9.53764E-15;4.0e-20;hlk+04;0.4727749811340;8.0e-13;hlk+04;-2.131817E-15;8.0e-21;hlk+04;3.51e+06;4.55e+12;4.0e+31;
54;B0053+47;dtws85;0.472036662076;7.0e-12;hlk+04;3.32849E-15;7.0e-20;hlk+04;2.11847951725;3.0e-11;hlk+04;-1.49381E-14;3.0e-19;hlk+04;2.25e+06;1.27e+12;1.2e+33;
55;J0057-7201;ckm+01;0.7380624426;2.0e-10;ckm+01;1.0E-16;8.0e-17;ckm+01;1.3548989114;4.0e-10;ckm+01;-1.8E-16;1.5e-16;ckm+01;1.17e+08;2.75e+11;9.8e+30;
56;J0058+4950;slr+14;0.99602345227;4.0e-11;lsk+18;8.04E-16;2.0e-17;lsk+18;1.00399242379;4.0e-11;lsk+18;-8.1E-16;2.0e-17;lsk+18;1.96e+07;9.05e+11;3.2e+31;
57;J0058+6125;hrk+08;0.637;0;hrk+08;*;0;*;1.569859;0;hrk+08;*;0;*;*;*;*;
58;J0059+69;scb+19;1.1459;0;scb+19;*;0;*;0.872676;0;scb+19;*;0;*;*;*;*;
