#;NAME;;P0;;;P1;;;F0;;;F1;;;AGE;BSURF;EDOT;
;;;(s);;;;;;(Hz);;;(s^-2);;;(Yr);(G);(ergs/s);
1519;J1741-3016;mhl+02;1.89374869377;1.8e-10;mhl+02;8.99E-15;6.0e-17;mhl+02;0.52805316951;5.0e-11;mhl+02;-2.508E-15;1.6e-17;mhl+02;3.34e+06;4.18e+12;5.2e+31;
1520;J1741-34;ncb+15;0.875137;2.0e-06;ncb+15;*;0;*;1.142678;3.0e-06;ncb+15;*;0;*;*;*;*;
1521;J1741+3855;scb+19;0.82886088996;0;tbc+20;0.206E-15;4.0e-18;tbc+20;1.206475;0;tbc+20;-2.998e-16;0;tbc+20;6.38e+07;4.18e+11;1.4e+31;
1522;B1737-39;mlt+78;0.512212355130;6.0e-12;jbv+19;1.7122E-15;3.0e-19;jbv+19;1.95231526531;2.0e-11;jbv+19;-6.5261E-15;9.0e-19;jbv+19;4.74e+06;9.48e+11;5.0e+32;
1523;J1742-3957;lfl+06;1.0163491951;4.0e-10;lfl+06;8.2E-17;2.9e-17;lfl+06;0.9839138013;3.0e-10;lfl+06;-7.9E-17;2.8e-17;lfl+06;1.97e+08;2.91e+11;3.1e+30;
1524;J1742-4616;ebvb01;0.412401047219;7.0e-12;ebvb01;3.38E-17;1.2e-18;ebvb01;2.42482410446;5.0e-11;ebvb01;-1.99E-16;8.0e-18;ebvb01;1.93e+08;1.19e+11;1.9e+31;
1525;B1740-03;mlt+78;0.44464510677;1.0e-10;hlk+04;1.5562E-15;8.0e-19;hlk+04;2.2489846054;5.0e-10;hlk+04;-7.871E-15;4.0e-18;hlk+04;4.53e+06;8.42e+11;7.0e+32;
1526;J1743+05;dsm+16;1.47363;0;dsm+16;*;0;*;0.678596;0;dsm+16;*;0;*;*;*;*;
1527;B1740-13;stwd85;0.405336948592;1.0e-11;hlk+04;4.7752E-16;9.0e-20;hlk+04;2.46708325869;6.0e-11;hlk+04;-2.9064E-15;5.0e-19;hlk+04;1.34e+07;4.45e+11;2.8e+32;
1528;J1743-2442;hfs+04;1.24250830909;1.1e-10;hfs+04;4.72E-16;1.0e-17;hfs+04;0.80482359167;7.0e-11;hfs+04;-3.06E-16;6.0e-18;hfs+04;4.17e+07;7.75e+11;9.7e+30;
1529;B1740-31;jlm+92;2.414652314520;6.0e-12;lbs+20;1.20781E-13;3.0e-18;lbs+20;0.414138298084;1.0e-12;lbs+20;-20.7152E-15;5.0e-19;lbs+20;3.17e+05;1.73e+13;3.4e+32;
1530;J1743-3153;mhl+02;0.193105399932;7.0e-12;mhl+02;1.05675E-14;4.0e-19;mhl+02;5.17851909036;1.7e-10;mhl+02;-2.83388E-13;1.0e-17;mhl+02;2.9e+05;1.45e+12;5.8e+34;
1531;J1743-35;ncb+15;0.569980;9.0e-06;ncb+15;*;0;*;1.75445;3.0e-05;ncb+15;*;0;*;*;*;*;
1532;J1743-4212;ebvb01;0.3061669878595;1.6e-12;ebvb01;7.834E-16;4.0e-19;ebvb01;3.266191456470;1.8e-11;ebvb01;-8.357E-15;5.0e-18;ebvb01;6.19e+06;4.96e+11;1.1e+33;
1533;J1744-1134;bjb+97;0.004074545941439190;7.0e-18;rhc+16;8.93471E-21;5.0e-26;rhc+16;245.4261197130557;4.0e-13;rhc+16;-5.38173E-16;3.0e-21;rhc+16;7.23e+09;1.93e+08;5.2e+33;
1534;J1744-1610;ebvb01;1.757205868816;1.6e-11;ebvb01;2.3767E-15;1.6e-18;ebvb01;0.569085283487;6.0e-12;ebvb01;-7.697E-16;6.0e-19;ebvb01;1.17e+07;2.07e+12;1.7e+31;
1535;J1744-2335;lml+98;1.68350668862;2.0e-11;dsb+98;8.327E-16;9.0e-19;dsb+98;0.593998234019;8.0e-12;dsb+98;-2.938E-16;4.0e-19;dsb+98;3.2e+07;1.2e+12;6.9e+30;
1536;J1744-3130;mhl+02;1.06606087128;4.0e-11;mhl+02;2.1224E-14;1.2e-17;mhl+02;0.93803273991;3.0e-11;mhl+02;-1.8675E-14;1.0e-17;mhl+02;7.96e+05;4.81e+12;6.9e+32;
1537;J1744-3922;fsk+04;0.172444360995;2.0e-12;fsk+04;1.55E-18;1.2e-19;fsk+04;5.79897187841;7.0e-11;fsk+04;-5.2E-17;5.0e-18;fsk+04;1.76e+09;1.65e+10;1.2e+31;
1538;J1744-5337;bbb+12;0.3556658488;8.0e-10;bbb+12;0.19E-15;1.0e-17;bbb+12;2.811627834;7.0e-09;bbb+12;-1.50E-15;8.0e-17;bbb+12;2.97e+07;2.63e+11;1.7e+32;
1539;J1744-7619;cpw+18;0.0046875240948954;1.1e-15;cpw+18;9.679E-21;1.8e-23;cpw+18;213.33223675351;5.0e-11;cpw+18;-0.4405E-15;8.0e-19;cpw+18;7.67e+09;2.16e+08;3.7e+33;
1540;J1745-0129;ebvb01;1.045406855598;1.8e-11;ebvb01;6.31E-16;4.0e-18;ebvb01;0.956565374184;1.7e-11;ebvb01;-5.77E-16;4.0e-18;ebvb01;2.62e+07;8.22e+11;2.2e+31;
1541;J1745-0952;eb01b;0.0193763034411294;1.9e-15;jsb+10;9.246E-20;5.0e-23;jsb+10;51.609431233273;5.0e-12;jsb+10;-2.4627E-16;1.3e-19;jsb+10;3.32e+09;1.35e+09;5.0e+32;
1542;J1745+1017;bgc+13;0.0026521296710897;4.0e-16;bgc+13;2.729E-21;1.5e-23;bgc+13;377.05547013813;5.0e-11;bgc+13;-3.88E-16;2.0e-18;bgc+13;1.54e+10;8.61e+07;5.8e+33;
1543;J1745+1252;scb+19;1.0598487584;1.0e-10;tbc+20;0.563E-15;4.0e-18;tbc+20;0.94353085011;9.0e-11;tbc+20;-5.01E-16;4.0e-18;tbc+20;2.98e+07;7.82e+11;1.9e+31;
1544;J1745-2229;hfs+04;1.160592538166;1.9e-11;hfs+04;2.857E-15;3.0e-18;hfs+04;0.861628837956;1.4e-11;hfs+04;-2.1209E-15;1.5e-18;hfs+04;6.44e+06;1.84e+12;7.2e+31;
1545;J1745-23;ccb+20;0.00541669986;1.4e-10;ccb+20;*;0;*;184.614253;5.0e-06;ccb+20;*;0;*;*;*;*;
1546;J1745-2900;mgz+13;3.763733080;1.7e-08;laks15;1.756E-11;3.0e-14;laks15;0.2656936554;1.2e-09;laks15;-1.2399E-12;1.5e-15;laks15;3.4e+03;2.6e+14;1.3e+34;
1547;J1745-2910;dcl09;0.982;0;dcl09;*;0;*;1.018330;0;dcl09;*;0;*;*;*;*;
1548;J1745-2912;jkl+06;0.1873794;2.0e-07;jkl+06;*;0;*;5.336766;6.0e-06;jkl+06;*;0;*;*;*;*;
1549;B1742-30;kac+73;0.3674337248626;1.1e-12;psj+19;1.067181E-14;6.0e-20;psj+19;2.721579246363;8.0e-12;psj+19;-7.90460E-14;4.0e-19;psj+19;5.46e+05;2e+12;8.5e+33;
1550;J1745-3812;bbb+12;0.6983528638;2.0e-10;bbb+12;2.426E-15;7.0e-18;bbb+12;1.4319408595;5.0e-10;bbb+12;-4.974E-15;1.5e-17;bbb+12;4.56e+06;1.32e+12;2.8e+32;
1551;J1745+42;scb+19;0.3051;0;scb+19;*;0;*;3.277614;0;scb+19;*;0;*;*;*;*;
1552;J1746+2245;clm+05;3.46503778264;6.0e-11;clm+05;4.919E-15;7.0e-18;clm+05;0.288597141714;5.0e-12;clm+05;-4.097E-16;6.0e-19;clm+05;1.12e+07;4.18e+12;4.7e+30;
1553;J1746+2540;fcwa95;1.0581481703;1.0e-10;lwf+04;1.047E-15;2.0e-18;lwf+04;0.94504723258;9.0e-11;lwf+04;-9.351E-16;1.8e-18;lwf+04;1.6e+07;1.07e+12;3.5e+31;
1554;J1746-27;ncb+15;0.48752760873;8.0e-11;ncb+15;*;0;*;2.0511658870;4.0e-10;ncb+15;*;0;*;*;*;*;
1555;J1746-2849;dcl09;1.478480373;2.0e-09;dcl09;1.27E-14;6.0e-16;dcl09;0.6763701556;1.0e-09;dcl09;-5.8E-15;3.0e-16;dcl09;1.84e+06;4.38e+12;1.6e+32;
1556;J1746-2850;dcl09;1.0771014910;4.0e-10;dcl09;1.34311E-12;2.0e-17;dcl09;0.9284176174;4.0e-10;dcl09;-1.157706E-12;1.8e-17;dcl09;1.27e+04;3.85e+13;4.2e+34;
1557;J1746-2856;jkl+06;0.945224316;3.0e-09;jkl+06;12.5E-15;3.0e-16;jkl+06;1.057949931;4.0e-09;jkl+06;-1.40E-14;4.0e-16;jkl+06;1.2e+06;3.48e+12;5.8e+32;
1558;J1746-3239;pga+12;0.1995413598713;1.2e-12;pga+12;6.56093E-15;1.2e-19;pga+12;5.01149235750;3.0e-11;pga+12;-1.64778E-13;3.0e-18;pga+12;4.82e+05;1.16e+12;3.3e+34;
1559;J1747-1030;bbb+12;1.5787928888;2.0e-10;bbb+12;0.43E-15;2.0e-17;bbb+12;0.63339530289;9.0e-11;bbb+12;-1.73E-16;9.0e-18;bbb+12;5.82e+07;8.34e+11;4.3e+30;
1560;J1747-2647;kel+09;0.500254454491;1.6e-11;kel+09;13.2412E-15;1.8e-18;kel+09;1.99898269975;7.0e-11;kel+09;-5.2911E-14;8.0e-18;kel+09;5.99e+05;2.6e+12;4.2e+33;
1561;J1747-2802;mhl+02;2.7800791979;8.0e-10;mhl+02;2.37E-15;1.2e-16;mhl+02;0.35970198286;1.0e-10;mhl+02;-3.06E-16;1.5e-17;mhl+02;1.86e+07;2.59e+12;4.3e+30;
1562;J1747-2809;crgl09;0.052152855;2.0e-09;crgl09;1.5557E-13;3.0e-17;crgl09;19.1744057;8.0e-07;crgl09;-5.7197E-11;1.2e-14;crgl09;5.31e+03;2.88e+12;4.3e+37;
1563;J1747-2958;cmgl02;0.0988139764825;2.0e-12;gvc+04;6.132329E-14;1.0e-19;gvc+04;10.1200258870;2.0e-10;gvc+04;-6.28042E-12;1.0e-17;gvc+04;2.55e+04;2.49e+12;2.5e+36;
1564;J1747-4036;kcj+12;0.00164560961449250;1.1e-16;abb+18;1.3142E-20;5.0e-24;abb+18;607.67753858098;4.0e-11;abb+18;-4.8529E-15;1.7e-18;abb+18;1.98e+09;1.49e+08;1.2e+35;
1565;B1745-12;mlt+78;0.3941333466126;1.4e-12;hlk+04;1.212692E-15;1.1e-20;hlk+04;2.537212363771;9.0e-12;hlk+04;-7.80664E-15;7.0e-20;hlk+04;5.15e+06;7e+11;7.8e+32;
1566;B1745-20A;mlj+89b;0.2886027917197;1.6e-12;frb+08;3.9933E-16;1.0e-19;frb+08;3.464969947246;1.9e-11;frb+08;-4.7944E-15;1.2e-18;frb+08;1.15e+07;3.44e+11;6.6e+32;
1567;J1748-2021B;frb+08;0.016760127219257;5.0e-15;frb+08;-3.2913E-19;1.7e-22;frb+08;59.665418222544;1.7e-11;frb+08;1.1717E-15;6.0e-19;frb+08;*;*;*;
1568;J1748-2021C;frb+08;0.006226932720487;3.0e-15;frb+08;-5.983E-20;1.6e-22;frb+08;160.59270990836;6.0e-11;frb+08;1.543E-15;4.0e-18;frb+08;*;*;*;
1569;J1748-2021D;frb+08;0.013495820403909;3.0e-15;frb+08;5.8677E-19;1.7e-22;frb+08;74.097014488305;1.3e-11;frb+08;-3.2216E-15;9.0e-19;frb+08;3.64e+08;2.85e+09;9.4e+33;
1570;J1748-2021E;frb+08;0.016264003411125;6.0e-15;frb+08;3.124E-19;4.0e-22;frb+08;61.48547652886;2.0e-11;frb+08;-1.1812E-15;1.5e-18;frb+08;8.25e+08;2.28e+09;2.9e+33;
1571;J1748-2021F;frb+08;0.003793629114948;3.0e-15;frb+08;-1.055E-20;1.9e-22;frb+08;263.5998326931;2.0e-10;frb+08;0.733E-15;1.3e-17;frb+08;*;*;*;
1572;J1748-2444;lmd+90;0.442838499130;6.0e-12;hlk+04;1.1131E-16;4.0e-20;hlk+04;2.25815958180;3.0e-11;hlk+04;-5.6761E-16;1.7e-19;hlk+04;6.3e+07;2.25e+11;5.1e+31;
1573;B1744-24A;lmd+90;0.01156314838986;3.0e-14;lmbm00;-3.40E-20;4.0e-22;lmbm00;86.4816368591;3.0e-10;lmbm00;2.54E-16;3.0e-18;lmbm00;*;*;*;
1574;J1748-2446aa;fre08;0.00578804;0;fre08;*;0;*;172.770057;0;fre08;*;0;*;*;*;*;
1575;J1748-2446ab;fre08;0.00511971;0;fre08;*;0;*;195.323563;0;fre08;*;0;*;*;*;*;
1576;J1748-2446ac;fre08;0.00508691;0;fre08;*;0;*;196.582994;0;fre08;*;0;*;*;*;*;
1577;J1748-2446ad;hrs+06;0.00139595482;6.0e-11;hrs+06;0E-19;6.0e-19;hrs+06;716.35556;4.0e-05;hrs+06;-0.0000000000000;4.0e-13;hrs+06;*;*;*;
1578;J1748-2446ae;fre08;0.00365859;0;fre08;*;0;*;273.329343;0;fre08;*;0;*;*;*;*;
1579;J1748-2446af;fre08;0.00330434;0;fre08;*;0;*;302.632296;0;fre08;*;0;*;*;*;*;
1580;J1748-2446ag;fre08;0.00444803;0;fre08;*;0;*;224.818628;0;fre08;*;0;*;*;*;*;
1581;J1748-2446ah;fre08;0.00496515;0;fre08;*;0;*;201.403784;0;fre08;*;0;*;*;*;*;
1582;J1748-2446ai;fre08;0.02122838;0;fre08;*;0;*;47.106750;0;fre08;*;0;*;*;*;*;
1583;J1748-2446aj;crf+18;0.0029589095505841;4.0e-16;crf+18;1.41232E-19;7.0e-24;crf+18;337.96234149929;4.0e-11;crf+18;-1.61313E-14;7.0e-19;crf+18;3.32e+08;6.54e+08;2.2e+35;
1584;J1748-2446ak;crf+18;0.00189010668450548;1.5e-16;crf+18;8.8494E-20;8.0e-24;crf+18;529.07066473956;4.0e-11;crf+18;-2.4771E-14;2.0e-18;crf+18;3.38e+08;4.14e+08;5.2e+35;
1585;J1748-2446al;crf+18;5.95;0;crf+18;*;0;*;0.168067;0;crf+18;*;0;*;*;*;*;
1586;J1748-2446C;lmbm00;0.0084360953044;1.0e-13;lmbm00;-6.06E-19;4.0e-21;lmbm00;118.5382530563;1.5e-09;lmbm00;8.52E-15;6.0e-17;lmbm00;*;*;*;
1587;J1748-2446D;rhs+05;0.00471398;0;rhs+05;*;0;*;212.134969;0;rhs+05;*;0;*;*;*;*;
1588;J1748-2446E;rhs+05;0.00219780;0;rhs+05;*;0;*;455.000455;0;rhs+05;*;0;*;*;*;*;
1589;J1748-2446F;rhs+05;0.00554014;0;rhs+05;*;0;*;180.500854;0;rhs+05;*;0;*;*;*;*;
1590;J1748-2446G;rhs+05;0.02167187;0;rhs+05;*;0;*;46.142765;0;rhs+05;*;0;*;*;*;*;
1591;J1748-2446H;rhs+05;0.00492589;0;rhs+05;*;0;*;203.008999;0;rhs+05;*;0;*;*;*;*;
1592;J1748-2446I;rhs+05;0.00957019;0;rhs+05;*;0;*;104.491133;0;rhs+05;*;0;*;*;*;*;
1593;J1748-2446J;rhs+05;0.08033793;0;rhs+05;*;0;*;12.447421;0;rhs+05;*;0;*;*;*;*;
1594;J1748-2446K;rhs+05;0.00296965;0;rhs+05;*;0;*;336.740020;0;rhs+05;*;0;*;*;*;*;
1595;J1748-2446L;rhs+05;0.00224470;0;rhs+05;*;0;*;445.493830;0;rhs+05;*;0;*;*;*;*;
1596;J1748-2446M;rhs+05;0.00356957;0;rhs+05;*;0;*;280.145788;0;rhs+05;*;0;*;*;*;*;
1597;J1748-2446N;rhs+05;0.00866690;0;rhs+05;*;0;*;115.381509;0;rhs+05;*;0;*;*;*;*;
1598;J1748-2446O;rhs+05;0.00167663;0;rhs+05;*;0;*;596.434514;0;rhs+05;*;0;*;*;*;*;
1599;J1748-2446P;rhs+05;0.00172862;0;rhs+05;*;0;*;578.496141;0;rhs+05;*;0;*;*;*;*;
1600;J1748-2446Q;rhs+05;0.002812;0;rhs+05;*;0;*;355.618777;0;rhs+05;*;0;*;*;*;*;
1601;J1748-2446R;rhs+05;0.00502854;0;rhs+05;*;0;*;198.864879;0;rhs+05;*;0;*;*;*;*;
1602;J1748-2446S;rhs+05;0.00611664;0;rhs+05;*;0;*;163.488451;0;rhs+05;*;0;*;*;*;*;
1603;J1748-2446T;rhs+05;0.00708491;0;rhs+05;*;0;*;141.145053;0;rhs+05;*;0;*;*;*;*;
1604;J1748-2446U;rhs+05;0.00328914;0;fre08;*;0;*;304.030841;0;fre08;*;0;*;*;*;*;
1605;J1748-2446V;rhs+05;0.00207251;0;rhs+05;*;0;*;482.506719;0;rhs+05;*;0;*;*;*;*;
1606;J1748-2446W;rhs+05;0.00420518;0;rhs+05;*;0;*;237.801949;0;rhs+05;*;0;*;*;*;*;
1607;J1748-2446X;rhs+05;0.00299926;0;fre08;*;0;*;333.415576;0;fre08;*;0;*;*;*;*;
1608;J1748-2446Y;rhs+05;0.00204816;0;rhs+05;*;0;*;488.243106;0;rhs+05;*;0;*;*;*;*;
1609;J1748-2446Z;fre08;0.00246259;0;fre08;*;0;*;406.076529;0;fre08;*;0;*;*;*;*;
1610;J1748-30;ncb+15;0.3827347;6.0e-07;ncb+15;*;0;*;2.612776;5.0e-06;ncb+15;*;0;*;*;*;*;
1611;J1748-3009;kek+13;0.009684273;2.0e-09;kek+13;*;0;*;103.26020;3.0e-05;kek+13;*;0;*;*;*;*;
1612;J1749+16;dsm+16;2.31165;0;dsm+16;*;0;*;0.432591;0;dsm+16;*;0;*;*;*;*;
1613;J1749-2146;ccb+20;2.71455556146;1.2e-10;ccb+20;7077E-18;7.0e-21;ccb+20;0.368384428817;1.7e-11;ccb+20;-9.603991E-16;1.0e-21;ccb+20;6.08e+06;4.44e+12;1.4e+31;
1614;J1749-2347;hfs+04;0.87448588170;4.0e-11;hfs+04;2.4236E-15;1.0e-18;hfs+04;1.14352903909;4.0e-11;hfs+04;-3.1692E-15;1.3e-18;hfs+04;5.72e+06;1.47e+12;1.4e+32;
1615;J1749-2629;mhl+02;1.33538779057;1.3e-10;mhl+02;1.72E-15;3.0e-17;mhl+02;0.74884614571;7.0e-11;mhl+02;-9.62E-16;1.5e-17;mhl+02;1.23e+07;1.53e+12;2.8e+31;
1616;B1746-30;jlm+92;0.609873648673;1.5e-11;hlk+04;7.87067E-15;1.2e-19;hlk+04;1.63968389547;4.0e-11;hlk+04;-2.11608E-14;3.0e-19;hlk+04;1.23e+06;2.22e+12;1.4e+33;
1617;J1749-4931;bbb+12;0.445822307;2.0e-09;bbb+12;0.59E-15;2.0e-17;bbb+12;2.243046129;1.1e-08;bbb+12;-2.97E-15;1.1e-16;bbb+12;1.2e+07;5.19e+11;2.6e+32;
1618;J1749-5417;bsb+19;0.307576751860;6.0e-12;bsb+19;0.1496E-15;7.0e-19;bsb+19;3.25122101704;7.0e-11;bsb+19;-1.581E-15;8.0e-18;bsb+19;3.26e+07;2.17e+11;2.0e+32;
1619;B1745-56;mlt+78;1.3323097198;7.0e-10;nmc81;2.12E-15;3.0e-17;nmc81;0.7505762250;4.0e-10;nmc81;-1.194E-15;1.7e-17;nmc81;9.96e+06;1.7e+12;3.5e+31;
1620;J1749+5952;scb+19;0.436040950719;2.0e-12;tbc+20;0.1519E-15;4.0e-19;tbc+20;2.293362580627;1.1e-11;tbc+20;-7.99E-16;3.0e-18;tbc+20;4.55e+07;2.6e+11;7.2e+31;
1621;J1750+07;dsm+16;1.90881;0;dsm+16;*;0;*;0.523887;0;dsm+16;*;0;*;*;*;*;
1622;J1750-2043;lfl+06;5.639047079;3.0e-09;lfl+06;7.9E-15;1.6e-15;lfl+06;0.17733492662;9.0e-11;lfl+06;-2.5E-16;5.0e-17;lfl+06;1.12e+07;6.78e+12;1.8e+30;
1623;J1750-2438;mhl+02;0.712794036774;1.0e-11;mhl+02;1.0797E-14;3.0e-18;mhl+02;1.402929806380;1.8e-11;mhl+02;-2.1250E-14;4.0e-18;mhl+02;1.05e+06;2.81e+12;1.2e+33;
1624;J1750-2444;hfs+04;0.89937672140;5.0e-11;hfs+04;2.64E-16;3.0e-18;hfs+04;1.11188112412;6.0e-11;hfs+04;-3.26E-16;3.0e-18;hfs+04;5.4e+07;4.93e+11;1.4e+31;
1625;J1750-2536;kek+13;0.034749053;8.0e-09;kek+13;*;0;*;28.777763;7.0e-06;kek+13;*;0;*;*;*;*;
1626;J1750-28;ncb+15;1.3005131462;7.0e-10;ncb+15;5780E-18;1.9e-19;ncb+15;0.7689272522;5.0e-10;ncb+15;-3.41742E-15;1.2e-19;ncb+15;3.56e+06;2.77e+12;1.0e+32;
1627;B1747-31;jlm+92;0.910362984150;5.0e-12;hlk+04;1.9652E-16;4.0e-20;hlk+04;1.098462939960;5.0e-12;hlk+04;-2.3712E-16;4.0e-20;hlk+04;7.34e+07;4.28e+11;1.0e+31;
1628;J1750-3503;mld+96;0.68401360292;3.0e-11;dsb+98;3.81E-17;4.0e-19;dsb+98;1.46195922966;7.0e-11;dsb+98;-8.14E-17;9.0e-19;dsb+98;2.84e+08;1.63e+11;4.7e+30;
1629;J1750-3703A;dpm+01a;0.1116008373133;4.0e-13;frb+08;5.661E-18;8.0e-21;frb+08;8.96050624775;3.0e-11;frb+08;-0.4545E-15;6.0e-19;frb+08;3.12e+08;2.54e+10;1.6e+32;
1630;J1750-3703B;frb+08;0.006074542086503;6.0e-15;frb+08;1.92E-20;5.0e-22;frb+08;164.62146212170;1.6e-10;frb+08;-0.520E-15;1.1e-17;frb+08;5.02e+09;3.45e+08;3.4e+33;
1631;J1750-3703C;frb+08;0.02656867837497;5.0e-14;frb+08;-9.96E-19;3.0e-21;frb+08;37.63830424257;6.0e-11;frb+08;1.411E-15;4.0e-18;frb+08;*;*;*;
1632;J1750-3703D;frb+08;0.005139936774902;4.0e-15;frb+08;4.928E-19;3.0e-22;frb+08;194.55492232569;1.5e-10;frb+08;-18.652E-15;9.0e-18;frb+08;1.65e+08;1.61e+09;1.4e+35;
1633;J1751-2516;mhl+02;0.39483578357;1.0e-10;mhl+02;2.645E-15;3.0e-18;mhl+02;2.5326985081;6.0e-10;mhl+02;-1.6964E-14;1.6e-17;mhl+02;2.37e+06;1.03e+12;1.7e+33;
1634;J1751-2737;bdf+17;0.00223;0;bdf+17;*;0;*;448.430493;0;bdf+17;*;0;*;*;*;*;
1635;J1751-2857;sfl+05;0.003914873259435;3.0e-15;dcl+16;1.121E-20;3.0e-23;dcl+16;255.43611088557;2.0e-10;dcl+16;-7.314E-16;2.0e-18;dcl+16;5.53e+09;2.12e+08;7.4e+33;
1636;J1751-3323;kbm+03;0.54822710380;7.0e-11;ywml10;8.830E-15;7.0e-18;ywml10;1.8240615852;2.0e-10;ywml10;-2.938E-14;2.0e-17;ywml10;9.84e+05;2.23e+12;2.1e+33;
1637;B1747-46;wvl69;0.7423536034383;6.0e-13;jbv+19;1.29787E-15;6.0e-20;jbv+19;1.347066944066;1.0e-12;jbv+19;-2.3551E-15;1.0e-19;jbv+19;9.06e+06;9.93e+11;1.3e+32;
1638;J1752+2359;fcwa95;0.409050865044;9.0e-12;lwf+04;0.6427E-15;9.0e-19;lwf+04;2.44468374341;6.0e-11;lwf+04;-3.841E-15;6.0e-18;lwf+04;1.01e+07;5.19e+11;3.7e+32;
1639;J1752-2410;hfs+04;0.1910366935341;1.9e-12;hfs+04;6.1773E-16;8.0e-20;hfs+04;5.23459646155;5.0e-11;hfs+04;-1.69264E-14;2.0e-18;hfs+04;4.9e+06;3.48e+11;3.5e+33;
1640;B1749-28;tv68;0.56255763553;3.0e-11;hlk+04;8.12913E-15;1.0e-19;hlk+04;1.77759563969;8.0e-11;hlk+04;-2.56868E-14;3.0e-19;hlk+04;1.1e+06;2.16e+12;1.8e+33;
1641;J1752-2821;mhl+02;0.64022949952;4.0e-11;mhl+02;3.468E-15;1.7e-17;mhl+02;1.56193989928;9.0e-11;mhl+02;-8.46E-15;4.0e-17;mhl+02;2.93e+06;1.51e+12;5.2e+32;
1642;J1753-12;bb10;0.405454;1.0e-06;bb10;*;0;*;2.466371;7.0e-06;bb10;*;0;*;*;*;*;
1643;J1753-1914;lfl+06;0.0629548889725;1.2e-12;lfl+06;2.02E-18;1.2e-19;lfl+06;15.8843898595;3.0e-10;lfl+06;-5.1E-16;3.0e-17;lfl+06;4.93e+08;1.14e+10;3.2e+32;
1644;J1753-2240;kkl+09;0.0951378086771;7.0e-13;kkl+09;0.00097E-15;1.2e-19;kkl+09;10.51106824831;8.0e-11;kkl+09;-1.07E-16;1.4e-17;kkl+09;1.55e+09;9.72e+09;4.4e+31;
1645;B1750-24;cl86;0.52833640936;3.0e-11;hlk+04;1.411502E-14;1.7e-19;hlk+04;1.89273345976;8.0e-11;hlk+04;-5.05662E-14;6.0e-19;hlk+04;5.93e+05;2.76e+12;3.8e+33;
1646;J1753-28;ccb+20;0.08585861;2.0e-08;ccb+20;*;0;*;11.647056;3.0e-06;ccb+20;*;0;*;*;*;*;
1647;J1753-38;bb10;0.666804;0;kjv+10;*;0;*;1.499691;0;kjv+10;*;0;*;*;*;*;
1648;J1754+0032;mbc+19;0.00441080;0;mbc+19;*;0;*;226.716242;0;mbc+19;*;0;*;*;*;*;
1649;J1754-2422;kjv+10;2.0902480768;4.0e-10;bbb+12;0.83E-15;2.0e-17;bbb+12;0.47841211342;1.0e-10;bbb+12;-1.90E-16;5.0e-18;bbb+12;3.99e+07;1.33e+12;3.6e+30;
1650;J1754-3014;mll+06;1.3204904144;3.0e-10;jcs+17;4.428E-15;1.9e-17;jcs+17;0.75729440297;1.8e-10;jcs+17;-2.539E-15;1.1e-17;jcs+17;4.72e+06;2.45e+12;7.6e+31;
1651;J1754-3443;hfs+04;0.361690595821;1.0e-11;hfs+04;5.712E-16;7.0e-19;hfs+04;2.76479402991;7.0e-11;hfs+04;-4.366E-15;5.0e-18;hfs+04;1e+07;4.6e+11;4.8e+32;
1652;J1754-3510;lfl+06;0.392703893399;3.0e-12;lfl+06;7.816E-16;5.0e-19;lfl+06;2.546447888115;1.7e-11;lfl+06;-5.068E-15;3.0e-18;lfl+06;7.96e+06;5.61e+11;5.1e+32;
1653;B1753+52;dtws85;2.39139679486;3.0e-11;hlk+04;1.5641E-15;3.0e-19;hlk+04;0.418165652037;5.0e-12;hlk+04;-2.7351E-16;5.0e-20;hlk+04;2.42e+07;1.96e+12;4.5e+30;
1654;J1755-0903;bbb+12;0.190709642575;4.0e-12;bbb+12;0.7809E-15;3.0e-19;bbb+12;5.24357335318;1.1e-10;bbb+12;-2.1471E-14;9.0e-18;bbb+12;3.87e+06;3.91e+11;4.4e+33;
1655;J1755-1650;lfl+06;0.73374443871;3.0e-11;lfl+06;6.86E-16;3.0e-18;lfl+06;1.36287233980;4.0e-11;lfl+06;-1.274E-15;4.0e-18;lfl+06;1.69e+07;7.18e+11;6.9e+31;
1656;J1755-2025;kel+09;0.322231178915;5.0e-12;kel+09;4.4217E-15;6.0e-19;kel+09;3.10336201285;5.0e-11;kel+09;-4.2585E-14;6.0e-18;kel+09;1.15e+06;1.21e+12;5.2e+33;
1657;J1755-2521;mhl+02;1.1759678772;5.0e-10;mhl+02;9.0193E-14;1.7e-17;mhl+02;0.8503633640;3.0e-10;mhl+02;-6.5220E-14;1.2e-17;mhl+02;2.07e+05;1.04e+13;2.2e+33;
1658;J1755-25211;hfs+04;1.00451255339;7.0e-11;hfs+04;3.12081E-14;1.3e-18;hfs+04;0.99550771827;6.0e-11;hfs+04;-3.09283E-14;1.2e-18;hfs+04;5.1e+05;5.67e+12;1.2e+33;
1659;J1755-2534;hfs+04;0.233540625445;9.0e-12;hfs+04;1.12061E-14;9.0e-19;hfs+04;4.28191025905;1.5e-10;hfs+04;-2.05462E-13;1.5e-17;hfs+04;3.3e+05;1.64e+12;3.5e+34;
